U235,UO2,Gd2O3,Boron,Water,Pitch,Kmax,Kmin
0.044780258,10.06541537,0.019361044,0.000793738,0.94660457,2.392309319,0.48758,0.48712
0.009714765,10.76101678,0.04029851,0.000672193,0.444951032,1.490739477,0.48772,0.48736
0.012822629,10.821946,0.075551927,0.00037425,0.478986467,2.263324979,0.48837,0.48795
0.017861535,10.01837122,0.045045284,0.000832212,0.3984996,2.194862008,0.49088,0.49046
0.012175409,10.01978309,0.027127772,0.000486686,0.351819135,2.187360715,0.49096,0.49058
0.018247422,10.59710472,0.050734964,0.000270308,0.806840636,2.453593769,0.49157,0.49113
0.015361686,10.4027196,0.044827522,0.000559166,0.524748316,2.100009923,0.49259,0.49219
0.013526923,10.62202061,0.085931162,0.000958219,0.753652559,1.384835328,0.49324,0.49286
0.019875413,10.88131369,0.069615434,0.000442297,0.001976236,1.881983068,0.4935,0.49318
0.024510052,10.59915469,0.068824892,0.000528031,0.755287996,2.358871141,0.49422,0.49376
0.010420033,10.81356765,0.022996568,0.00029492,0.335140047,2.4267737,0.4949,0.49452
0.010911771,10.713557,0.089052861,0.000918308,0.113069216,1.921172263,0.49606,0.49566
0.027735309,10.88848965,0.051618502,0.000874007,0.547189714,2.439947502,0.4966,0.49616
0.011824506,10.42157285,0.088419929,0.000705817,0.174990945,2.287958584,0.49774,0.49738
0.016110321,10.41276773,0.077869624,0.000655094,0.84470331,1.664995625,0.49822,0.49784
0.009152499,10.40805206,0.049149981,0.000218558,0.132242701,1.526968294,0.49873,0.49835
0.011982757,10.70950305,0.039914965,0.000793274,0.820246512,1.349760167,0.49878,0.4984
0.026594814,10.06505964,0.087209778,0.000792206,0.906992821,1.917364779,0.49981,0.49935
0.011609825,10.16030962,0.093949085,0.000664975,0.114152845,1.520653165,0.50163,0.50125
0.011319728,10.2372944,0.03826213,0.000730269,0.140789327,2.407499382,0.50239,0.50201
0.03145772,10.57038731,0.01496856,0.000816452,0.818452084,2.200484918,0.50243,0.50199
0.01890593,10.43204569,0.020315595,0.000813005,0.636590463,1.913595463,0.50255,0.50209
0.037829598,10.64670315,0.07391876,0.000922286,0.698446831,2.402904436,0.50401,0.50355
0.017450833,10.23903753,0.024759029,0.000433018,0.740302847,2.091959623,0.5051,0.5047
0.012826077,10.3725615,0.088729565,0.000153095,0.020745844,2.38640503,0.5052,0.5048
0.009185039,10.17159935,0.033592003,6.86E-05,0.128912938,1.44807184,0.50824,0.50784
0.016498419,10.30556982,0.045021975,0.000970792,0.02036664,1.388905529,0.50831,0.50797
0.041083528,10.5942076,0.059217408,0.000903798,0.782825004,2.359108736,0.50994,0.50944
0.008730266,10.07595972,0.02434161,0.000279925,0.41216573,1.639627051,0.50994,0.50952
0.019305509,10.62352859,0.019332405,0.000280948,0.961031245,2.269225241,0.51014,0.5097
0.017229941,10.92084573,0.059661076,0.000780706,0.409623238,2.17227624,0.51052,0.5101
0.013685957,10.46731913,0.018369945,0.000935264,0.246225706,2.146249944,0.51066,0.51028
0.033894083,10.03816983,0.047747318,0.000504465,0.939917098,2.397248485,0.51166,0.51116
0.038596318,10.43255038,0.039502255,0.000948928,0.684064457,2.388354426,0.5122,0.51172
0.012660354,10.66341613,0.067980505,0.000220153,0.650073026,2.18659686,0.51316,0.51274
0.009439752,10.32591564,0.037044633,0.00027394,0.411598357,1.825490537,0.51345,0.51307
0.010224442,10.17751522,0.093022184,0.000417236,0.356879895,1.329046064,0.51355,0.51315
0.021737958,10.56171403,0.077876488,0.000834239,0.94142276,1.685462817,0.51519,0.51473
0.007657877,10.61064489,0.018627208,0.000175958,0.258637709,1.737162546,0.5156,0.51522
0.021252881,10.96261959,0.008983576,0.000672993,0.715973803,2.092331082,0.51594,0.51552
0.021312326,10.62471898,0.060965557,0.000822375,0.764714098,1.825231269,0.51658,0.51616
0.028567193,10.44495649,0.00853705,0.000567125,0.99169858,2.152672536,0.51759,0.51713
0.012425768,10.00737938,0.087304029,0.000829241,0.102877323,1.644058765,0.51847,0.51807
0.023294414,10.94245528,0.095422807,0.000771854,0.689896365,2.035837929,0.51963,0.51921
0.013234295,10.69470597,0.035074185,0.000973932,0.075171989,1.255858725,0.5199,0.51948
0.016608903,10.50672754,0.053040313,0.000495365,0.877351179,1.777330924,0.52057,0.52011
0.028084211,10.08138828,0.043059016,0.000491797,0.988772807,2.161023381,0.52069,0.52019
0.01168148,10.02029933,0.041310459,0.000538684,0.663942373,1.462470753,0.52072,0.5203
0.031408023,10.95496278,0.068311154,0.000845047,0.847350846,2.082366534,0.52138,0.52096
